Name,Symbol
Reliance Industries,RELIANCE
Tata Consultancy Services,TCS
HDFC Bank,HDFCBANK
ICICI Bank,ICICIBANK
Hindustan Unilever,HINDUNILVR
Infosys,INFY
Housing Development Finance Corporation,HDFC
ITC,ITC
State Bank of India,SBIN
Bharti Airtel,BHARTIARTL
Kotak Mahindra Bank,KOTAKBANK
Bajaj Finance,BAJFINANCE
Larsen &amp; Toubro,LT
HCL Technologies,HCLTECH
Asian Paints,ASIANPAINT
Axis Bank,AXISBANK
Maruti Suzuki India,MARUTI
Sun Pharmaceutical,SUNPHARMA
Titan Company,TITAN
DMart,DMART
UltraTech Cement,ULTRACEMCO
Bajaj Finserv,BAJAJFINSV
Wipro,WIPRO
Oil &amp; Natural Gas,ONGC
Nestlé India,NESTLEIND
Adani Enterprises,ADANIENT
NTPC Limited,NTPC
JSW Steel,JSWSTEEL
Powergrid Corporation of India,POWERGRID
Adani Green Energy,ADANIGREEN
Mahindra &amp; Mahindra,M&M
Hindustan Zinc,HINDZINC
Tata Motors,TATAMOTORS
Adani Ports & SEZ,ADANIPORTS
Coal India,COALINDIA
Tata Steel,TATASTEEL
Pidilite,PIDILITIND
Siemens India,SIEMENS
Adani Transmission,ADANITRANS
SBI Life Insurance,SBILIFE
Indian Oil,IOC
Bajaj Auto,BAJAJ-AUTO
Grasim Industries,GRASIM
HDFC Life,HDFCLIFE
Tech Mahindra,TECHM
Vedanta,VEDL
Britannia Industries,BRITANNIA
Adani Total Gas,ATGL
Godrej,GODREJCP
Dabur,DABUR
Shree Cement,SHREECEM
Larsen &amp; Toubro Infotech,LTI
Varun Beverages,VBL
Hindustan Aeronautics,HAL
Hindalco Industries,HINDALCO
DLF,DLF
Bank of Baroda,BANKBARODA
IndusInd Bank,INDUSINDBK
Eicher Motors,EICHERMOT
Dr. Reddy's,DRREDDY
Divis Laboratories,DIVISLAB
Bharat Petroleum,BPCL
Cipla,CIPLA
Havells India,HAVELLS
Ambuja Cements,AMBUJACEM
ABB India,ABB
SRF Limited,SRF
InterGlobe Aviation,INDIGO
GAIL,GAIL
Bajaj Holdings &amp; Investment,BAJAJHLDNG
SBI Card,SBICARD
Adani Power,ADANIPOWER
Bharat Electronics,BEL
Tata Consumer Products,TATACONSUM
Apollo Hospitals,APOLLOHOSP
Marico,MARICO
ICICI Prulife,ICICIPRULI
Cholamandalam Investment and Finance,CHOLAFIN
Tata Power,TATAPOWER
Mindtree,MINDTREE
Berger Paints,BERGEPAINT
Jindal Steel &amp; Power,JINDALSTEL
BOSCH India,BOSCHLTD
UPL,UPL
United Spirits,MCDOWELL-N
ICICI Lombard,ICICIGI
Torrent Pharmaceuticals,TORNTPHARM
Shriram Transport Finance,SRTRANSFIN
Canara Bank,CANBK
Punjab National Bank,PNB
TVS Motor,TVSMOTOR
Zydus Lifesciences,ZYDUSLIFE
Tube Investments of India,TIINDIA
IDBI Bank,IDBI
Info Edge,NAUKRI
Trent Limited,TRENT
Abbott India,ABBOTINDIA
Hero MotoCorp,HEROMOTOCO
Indian Railway Catering & Tourism,IRCTC
Cummins India,CUMMINSIND
Procter &amp; Gamble India,PGHH
Indian Hotels Company,INDHOTEL
Schaeffler India,SCHAEFFLER
CG Power and Industrial Solutions,CGPOWER
PI Industries,PIIND
Zomato,ZOMATO
Yes Bank,YESBANK
Page Industries,PAGEIND
Union Bank of India,UNIONBANK
Polycab India,POLYCAB
Colgate-Palmolive India,COLPAL
Paytm,PAYTM
Indian Overseas Bank,IOB
Ashok Leyland,ASHOKLEY
NHPC Limited,NHPC
Muthoot Finance,MUTHOOTFIN
Indus Towers,INDUSTOWER
Alkem Laboratories,ALKEM
Power Finance Corp,PFC
Balkrishna Industries,BALKRISIND
Lodha Group,LODHA
AU Small Finance Bank,AUBANK
United Breweries,UBL
Tata Elxsi,TATAELXSI
JSW Energy,JSWENERGY
Nykaa,NYKAA
Aditya Birla Capital,ABCAPITAL
Bharat Forge,BHARATFORG
Astral Poly Technik,ASTRAL
Madras Rubber Factory,MRF
Indian Bank,INDIANB
IDFC FIRST Bank,IDFCFIRSTB
Container Corporation of India,CONCOR
Persistent Systems,PERSISTENT
Petronet LNG,PETRONET
Indian Railway Finance,IRFC
Steel Authority of India,SAIL
APL Apollo,APLAPOLLO
Hindustan Petroleum,HINDPETRO
Gujarat Gas,GUJGASLTD
